hur_id,name,positions,wind_peak
AL011900,UNNAMED,81,64.3
AL021900,UNNAMED,50,54.0
AL031900,UNNAMED,62,43.7
AL041900,UNNAMED,21,23.1
AL051900,UNNAMED,42,30.9
AL061900,UNNAMED,24,20.6
AL071900,UNNAMED,24,23.1
AL011901,UNNAMED,21,18.0
AL021901,UNNAMED,39,30.9
AL031901,UNNAMED,42,36.0
AL041901,UNNAMED,71,41.2
AL051901,UNNAMED,18,23.1
AL061901,UNNAMED,22,36.0
AL071901,UNNAMED,55,46.3
AL081901,UNNAMED,44,36.0
AL091901,UNNAMED,24,25.7
AL101901,UNNAMED,48,23.1
AL111901,UNNAMED,39,30.9
AL121901,UNNAMED,16,25.7
AL131901,UNNAMED,30,36.0
AL011902,UNNAMED,23,25.7
AL021902,UNNAMED,37,36.0
AL031902,UNNAMED,39,43.7
AL041902,UNNAMED,44,46.3
AL051902,UNNAMED,24,30.9
AL011903,UNNAMED,24,36.0
AL021903,UNNAMED,43,54.0
AL031903,UNNAMED,33,41.2
AL041903,UNNAMED,25,43.7
AL051903,UNNAMED,32,25.7
AL061903,UNNAMED,19,48.9
AL071903,UNNAMED,40,43.7
AL081903,UNNAMED,24,30.9
AL091903,UNNAMED,27,25.7
AL101903,UNNAMED,35,36.0
AL011904,UNNAMED,18,36.0
AL021904,UNNAMED,33,38.6
AL031904,UNNAMED,28,36.0
AL041904,UNNAMED,41,36.0
AL051904,UNNAMED,27,23.1
AL061904,UNNAMED,26,23.1
AL011905,UNNAMED,10,25.7
AL021905,UNNAMED,22,25.7
AL031905,UNNAMED,28,23.1
AL041905,UNNAMED,51,54.0
AL051905,UNNAMED,28,23.1
AL011906,UNNAMED,27,23.1
AL021906,UNNAMED,41,46.3
AL031906,UNNAMED,15,30.9
AL041906,UNNAMED,74,59.2
AL051906,UNNAMED,63,41.2
AL061906,UNNAMED,45,54.0
AL071906,UNNAMED,44,30.9
AL081906,UNNAMED,65,54.0
AL091906,UNNAMED,15,23.1
AL101906,UNNAMED,23,23.1
AL111906,UNNAMED,22,36.0
AL011907,UNNAMED,27,28.3
AL021907,UNNAMED,23,20.6
AL031907,UNNAMED,13,23.1
AL041907,UNNAMED,12,23.1
AL051907,UNNAMED,28,20.6
AL011908,UNNAMED,14,43.7
AL021908,UNNAMED,32,33.4
AL031908,UNNAMED,43,36.0
AL041908,UNNAMED,25,25.7
AL051908,UNNAMED,15,23.1
AL061908,UNNAMED,50,54.0
AL071908,UNNAMED,10,30.9
AL081908,UNNAMED,66,48.9
AL091908,UNNAMED,20,46.3
AL101908,UNNAMED,18,18.0
AL011909,UNNAMED,20,20.6
AL021909,UNNAMED,22,43.7
AL031909,UNNAMED,36,23.1
AL041909,UNNAMED,38,51.4
AL051909,UNNAMED,20,20.6
AL061909,UNNAMED,34,54.0
AL071909,UNNAMED,14,23.1
AL081909,UNNAMED,17,23.1
AL091909,UNNAMED,35,54.0
AL101909,UNNAMED,21,25.7
AL111909,UNNAMED,30,54.0
AL121909,UNNAMED,26,46.3
AL011910,UNNAMED,27,20.6
AL021910,UNNAMED,22,20.6
AL031910,UNNAMED,44,48.9
AL041910,UNNAMED,23,43.7
AL051910,UNNAMED,59,66.9
AL011911,UNNAMED,31,25.7
AL021911,UNNAMED,26,36.0
AL031911,UNNAMED,35,43.7
AL041911,UNNAMED,38,43.7
AL051911,UNNAMED,22,28.3
AL061911,UNNAMED,25,23.1
AL011912,UNNAMED,42,30.9
AL021912,UNNAMED,22,23.1
AL031912,UNNAMED,20,23.1
AL041912,UNNAMED,21,41.2
AL051912,UNNAMED,30,41.2
AL061912,UNNAMED,27,43.7
AL071912,UNNAMED,43,51.4
AL011913,UNNAMED,33,33.4
AL021913,UNNAMED,10,20.6
AL031913,UNNAMED,70,30.9
AL041913,UNNAMED,22,38.6
AL051913,UNNAMED,36,33.4
AL061913,UNNAMED,10,33.4
AL011914,UNNAMED,19,30.9
AL011915,UNNAMED,22,33.4
AL021915,UNNAMED,75,64.3
AL031915,UNNAMED,59,54.0
AL041915,UNNAMED,27,43.7
AL051915,UNNAMED,16,25.7
AL061915,UNNAMED,42,64.3
AL011916,UNNAMED,19,25.7
AL021916,UNNAMED,51,54.0
AL031916,UNNAMED,52,46.3
AL041916,UNNAMED,20,51.4
AL051916,UNNAMED,10,25.7
AL061916,UNNAMED,33,59.2
AL071916,UNNAMED,22,48.9
AL081916,UNNAMED,26,36.0
AL091916,UNNAMED,11,23.1
AL101916,UNNAMED,35,38.6
AL111916,UNNAMED,31,54.0
AL121916,UNNAMED,13,25.7
AL131916,UNNAMED,36,54.0
AL141916,UNNAMED,43,48.9
AL151916,UNNAMED,22,30.9
AL011917,UNNAMED,33,23.1
AL021917,UNNAMED,24,30.9
AL031917,UNNAMED,35,54.0
AL041917,UNNAMED,43,66.9
AL011918,UNNAMED,28,54.0
AL021918,UNNAMED,18,46.3
AL031918,UNNAMED,15,33.4
AL041918,UNNAMED,23,30.9
AL051918,UNNAMED,27,48.9
AL061918,UNNAMED,23,20.6
AL011919,UNNAMED,16,28.3
AL031919,UNNAMED,13,43.7
AL021919,UNNAMED,59,66.9
AL041919,UNNAMED,14,20.6
AL051919,UNNAMED,24,30.9
AL011920,UNNAMED,38,48.9
AL021920,UNNAMED,30,43.7
AL031920,UNNAMED,20,38.6
AL041920,UNNAMED,18,20.6
AL051920,UNNAMED,24,38.6
AL011921,UNNAMED,43,41.2
AL021921,UNNAMED,16,36.0
AL031921,UNNAMED,48,56.6
AL041921,UNNAMED,28,41.2
AL051921,UNNAMED,36,36.0
AL061921,UNNAMED,43,61.7
AL071921,UNNAMED,28,25.7
AL011922,UNNAMED,18,23.1
AL021922,UNNAMED,62,54.0
AL031922,UNNAMED,29,36.0
AL041922,UNNAMED,46,48.9
AL051922,UNNAMED,24,23.1
AL011923,UNNAMED,28,25.7
AL021923,UNNAMED,39,46.3
AL031923,UNNAMED,17,23.1
AL041923,UNNAMED,21,36.0
AL051923,UNNAMED,41,54.0
AL061923,UNNAMED,22,36.0
AL071923,UNNAMED,21,28.3
AL081923,UNNAMED,23,25.7
AL091923,UNNAMED,12,20.6
AL011924,UNNAMED,14,20.6
AL021924,UNNAMED,11,28.3
AL031924,UNNAMED,50,54.0
AL041924,UNNAMED,48,48.9
AL051924,UNNAMED,29,38.6
AL061924,UNNAMED,12,20.6
AL071924,UNNAMED,48,25.7
AL081924,UNNAMED,18,33.4
AL091924,UNNAMED,16,25.7
AL101924,UNNAMED,40,74.6
AL111924,UNNAMED,38,36.0
AL011925,UNNAMED,14,36.0
AL021925,UNNAMED,11,18.0
AL031925,UNNAMED,8,23.1
AL041925,UNNAMED,36,41.2
AL011926,UNNAMED,47,61.7
AL021926,UNNAMED,42,54.0
AL031926,UNNAMED,31,51.4
AL041926,UNNAMED,95,59.2
AL051926,UNNAMED,19,46.3
AL061926,UNNAMED,27,18.0
AL071926,UNNAMED,46,66.9
AL081926,UNNAMED,42,46.3
AL091926,UNNAMED,11,18.0
AL101926,UNNAMED,57,66.9
AL111926,UNNAMED,18,18.0
AL011927,UNNAMED,45,56.6
AL021927,UNNAMED,39,41.2
AL031927,UNNAMED,28,36.0
AL041927,UNNAMED,36,48.9
AL051927,UNNAMED,17,25.7
AL061927,UNNAMED,14,20.6
AL071927,UNNAMED,20,20.6
AL081927,UNNAMED,12,25.7
AL011928,UNNAMED,46,46.3
AL021928,UNNAMED,42,41.2
AL031928,UNNAMED,29,25.7
AL041928,UNNAMED,62,72.0
AL051928,UNNAMED,20,30.9
AL061928,UNNAMED,22,41.2
AL011929,UNNAMED,15,41.2
AL021929,UNNAMED,67,69.4
AL031929,UNNAMED,20,25.7
AL041929,UNNAMED,22,30.9
AL051929,UNNAMED,15,36.0
AL011930,UNNAMED,50,56.6
AL021930,UNNAMED,81,69.4
AL031930,UNNAMED,12,30.9
AL011931,UNNAMED,19,23.1
AL021931,UNNAMED,26,30.9
AL031931,UNNAMED,34,25.7
AL041931,UNNAMED,21,18.0
AL051931,UNNAMED,13,20.6
AL061931,UNNAMED,28,59.2
AL071931,UNNAMED,33,43.7
AL081931,UNNAMED,25,33.4
AL091931,UNNAMED,13,20.6
AL101931,UNNAMED,18,28.3
AL111931,UNNAMED,18,25.7
AL121931,UNNAMED,22,23.1
AL131931,UNNAMED,15,28.3
AL011932,UNNAMED,23,28.3
AL021932,UNNAMED,17,66.9
AL031932,UNNAMED,39,38.6
AL041932,UNNAMED,73,72.0
AL051932,UNNAMED,16,30.9
AL061932,UNNAMED,38,33.4
AL071932,UNNAMED,44,28.3
AL081932,UNNAMED,17,28.3
AL091932,UNNAMED,31,64.3
AL101932,UNNAMED,10,20.6
AL111932,UNNAMED,47,30.9
AL121932,UNNAMED,18,25.7
AL131932,UNNAMED,13,30.9
AL141932,UNNAMED,63,77.2
AL151932,UNNAMED,31,43.7
AL011933,UNNAMED,22,23.1
AL021933,UNNAMED,53,48.9
AL031933,UNNAMED,55,23.1
AL041933,UNNAMED,11,25.7
AL051933,UNNAMED,51,41.2
AL061933,UNNAMED,62,61.7
AL071933,UNNAMED,31,20.6
AL081933,UNNAMED,60,72.0
AL091933,UNNAMED,34,28.3
AL101933,UNNAMED,14,18.0
AL111933,UNNAMED,33,61.7
AL121933,UNNAMED,60,61.7
AL131933,UNNAMED,23,48.9
AL141933,UNNAMED,38,72.0
AL151933,UNNAMED,17,33.4
AL161933,UNNAMED,16,20.6
AL171933,UNNAMED,33,56.6
AL181933,UNNAMED,55,41.2
AL191933,UNNAMED,20,36.0
AL201933,UNNAMED,8,25.7
AL011934,UNNAMED,71,43.7
AL021934,UNNAMED,21,41.2
AL031934,UNNAMED,20,38.6
AL041934,UNNAMED,11,18.0
AL051934,UNNAMED,27,36.0
AL061934,UNNAMED,15,23.1
AL071934,UNNAMED,24,46.3
AL081934,UNNAMED,29,23.1
AL091934,UNNAMED,30,25.7
AL101934,UNNAMED,12,43.7
AL111934,UNNAMED,23,25.7
AL121934,UNNAMED,17,20.6
AL131934,UNNAMED,42,51.4
AL011935,UNNAMED,17,25.7
AL021935,UNNAMED,43,59.2
AL031935,UNNAMED,52,82.3
AL041935,UNNAMED,15,25.7
AL051935,UNNAMED,39,61.7
AL061935,UNNAMED,36,38.6
AL071935,UNNAMED,39,46.3
AL081935,UNNAMED,45,20.6
AL011936,UNNAMED,23,20.6
AL021936,UNNAMED,13,23.1
AL031936,UNNAMED,8,36.0
AL041936,UNNAMED,10,20.6
AL051936,UNNAMED,24,46.3
AL061936,UNNAMED,31,23.1
AL071936,UNNAMED,21,18.0
AL081936,UNNAMED,20,33.4
AL091936,UNNAMED,14,25.7
AL101936,UNNAMED,49,48.9
AL111936,UNNAMED,13,36.0
AL121936,UNNAMED,5,18.0
AL131936,UNNAMED,71,54.0
AL141936,UNNAMED,22,23.1
AL151936,UNNAMED,28,46.3
AL161936,UNNAMED,9,18.0
AL171936,UNNAMED,55,28.3
AL011937,UNNAMED,21,30.9
AL021937,UNNAMED,28,28.3
AL031937,UNNAMED,39,30.9
AL041937,UNNAMED,24,43.7
AL051937,UNNAMED,9,30.9
AL061937,UNNAMED,31,56.6
AL071937,UNNAMED,23,25.7
AL081937,UNNAMED,34,43.7
AL091937,UNNAMED,28,33.4
AL101937,UNNAMED,11,20.6
AL111937,UNNAMED,11,36.0
AL011938,UNNAMED,22,36.0
AL021938,UNNAMED,7,30.9
AL031938,UNNAMED,24,43.7
AL041938,UNNAMED,24,54.0
AL051938,UNNAMED,19,18.0
AL061938,UNNAMED,57,72.0
AL071938,UNNAMED,30,25.7
AL081938,UNNAMED,19,18.0
AL091938,UNNAMED,15,30.9
AL011939,UNNAMED,28,28.3
AL021939,UNNAMED,50,33.4
AL031939,UNNAMED,24,28.3
AL041939,UNNAMED,19,23.1
AL051939,UNNAMED,30,61.7
AL061939,UNNAMED,39,41.2
AL011940,UNNAMED,32,28.3
AL021940,UNNAMED,31,43.7
AL031940,UNNAMED,38,43.7
AL041940,UNNAMED,34,48.9
AL051940,UNNAMED,49,43.7
AL061940,UNNAMED,29,23.1
AL071940,UNNAMED,27,43.7
AL081940,UNNAMED,19,36.0
AL091940,UNNAMED,21,36.0
AL011941,UNNAMED,22,25.7
AL021941,UNNAMED,40,56.6
AL031941,UNNAMED,32,36.0
AL041941,UNNAMED,29,59.2
AL051941,UNNAMED,44,54.0
AL061941,UNNAMED,30,23.1
AL011942,UNNAMED,12,25.7
AL021942,UNNAMED,26,36.0
AL031942,UNNAMED,38,51.4
AL041942,UNNAMED,39,48.9
AL051942,UNNAMED,32,23.1
AL061942,UNNAMED,27,23.1
AL071942,UNNAMED,13,23.1
AL081942,UNNAMED,22,30.9
AL091942,UNNAMED,12,23.1
AL101942,UNNAMED,22,23.1
AL111942,UNNAMED,28,48.9
AL011943,UNNAMED,18,46.3
AL021943,UNNAMED,26,25.7
AL031943,UNNAMED,34,61.7
AL041943,UNNAMED,36,54.0
AL051943,UNNAMED,18,23.1
AL061943,UNNAMED,20,43.7
AL071943,UNNAMED,16,28.3
AL081943,UNNAMED,11,30.9
AL091943,UNNAMED,25,48.9
AL101943,UNNAMED,26,20.6
AL011944,UNNAMED,28,36.0
AL021944,UNNAMED,15,28.3
AL031944,UNNAMED,21,36.0
AL041944,UNNAMED,32,54.0
AL051944,UNNAMED,20,25.7
AL061944,UNNAMED,13,28.3
AL071944,UNNAMED,32,64.3
AL081944,UNNAMED,14,36.0
AL091944,UNNAMED,29,43.7
AL101944,UNNAMED,13,23.1
AL111944,UNNAMED,13,20.6
AL121944,UNNAMED,20,36.0
AL131944,UNNAMED,51,64.3
AL141944,UNNAMED,12,30.9
AL011945,UNNAMED,59,43.7
AL021945,UNNAMED,13,18.0
AL031945,UNNAMED,12,25.7
AL041945,UNNAMED,15,30.9
AL051945,UNNAMED,24,51.4
AL061945,UNNAMED,15,30.9
AL071945,UNNAMED,13,18.0
AL081945,UNNAMED,14,25.7
AL091945,UNNAMED,39,59.2
AL101945,UNNAMED,22,41.2
AL111945,UNNAMED,26,43.7
AL011946,UNNAMED,14,18.0
AL021946,UNNAMED,24,36.0
AL031946,UNNAMED,6,18.0
AL041946,UNNAMED,26,43.7
AL051946,UNNAMED,20,41.2
AL061946,UNNAMED,39,43.7
AL071946,UNNAMED,13,20.6
AL011947,UNNAMED,10,23.1
AL021947,UNNAMED,31,48.9
AL031947,UNNAMED,39,36.0
AL041947,UNNAMED,73,64.3
AL051947,UNNAMED,10,25.7
